order_detail_id,order_id,order_date,customer_id,customer_name,product_id,product_name,unit_price,quantity,subtotal,order_total,phone
146,146,2025-11-16 06:00:06.460815,88,Putri Puspita,27,Card Reader Super 27,13501.94,5,67509.70,189027.16,08339821399
346,146,2025-11-16 06:00:06.460815,88,Putri Puspita,27,Card Reader Super 27,13501.94,9,121517.46,189027.16,08339821399
65,65,2025-11-15 09:34:28.460815,88,Putri Puspita,27,Card Reader Super 27,13501.94,1,13501.94,121517.46,08339821399
265,65,2025-11-15 09:34:28.460815,88,Putri Puspita,27,Card Reader Super 27,13501.94,8,108015.52,121517.46,08339821399
357,157,2025-11-14 13:14:40.460815,15,Budi Santoso,27,Card Reader Super 27,13501.94,3,40505.82,81011.64,08276512680
157,157,2025-11-14 13:14:40.460815,15,Budi Santoso,27,Card Reader Super 27,13501.94,3,40505.82,81011.64,08276512680
155,155,2025-11-13 03:23:09.460815,28,Joko Lestari,27,Card Reader Super 27,13501.94,1,13501.94,121517.46,08883096757
355,155,2025-11-13 03:23:09.460815,28,Joko Lestari,27,Card Reader Super 27,13501.94,8,108015.52,121517.46,08883096757
306,106,2025-11-10 12:30:42.460815,62,Tono Nugroho,27,Card Reader Super 27,13501.94,5,67509.70,94513.58,08699934027
106,106,2025-11-10 12:30:42.460815,62,Tono Nugroho,27,Card Reader Super 27,13501.94,2,27003.88,94513.58,08699934027
81,81,2025-11-10 10:10:32.460815,48,Andi Santoso,27,Card Reader Super 27,13501.94,4,54007.76,148521.34,08982556640
281,81,2025-11-10 10:10:32.460815,48,Andi Santoso,27,Card Reader Super 27,13501.94,7,94513.58,148521.34,08982556640
88,88,2025-11-10 08:32:39.460815,81,Wati Hakim,27,Card Reader Super 27,13501.94,1,13501.94,94513.58,08064543918
288,88,2025-11-10 08:32:39.460815,81,Wati Hakim,27,Card Reader Super 27,13501.94,6,81011.64,94513.58,08064543918
361,161,2025-11-08 17:34:12.460815,22,Gita Utami,27,Card Reader Super 27,13501.94,9,121517.46,175525.22,08376939726
161,161,2025-11-08 17:34:12.460815,22,Gita Utami,27,Card Reader Super 27,13501.94,4,54007.76,175525.22,08376939726
76,76,2025-11-08 04:58:37.460815,65,Wati Rahayu,27,Card Reader Super 27,13501.94,10,135019.40,175525.22,08219296355
276,76,2025-11-08 04:58:37.460815,65,Wati Rahayu,27,Card Reader Super 27,13501.94,3,40505.82,175525.22,08219296355
150,150,2025-11-07 14:13:46.460815,45,Umar Budiman,27,Card Reader Super 27,13501.94,8,108015.52,202529.10,08858606418
350,150,2025-11-07 14:13:46.460815,45,Umar Budiman,27,Card Reader Super 27,13501.94,7,94513.58,202529.10,08858606418
246,46,2025-11-07 11:11:53.460815,55,Budi Sari,27,Card Reader Super 27,13501.94,6,81011.64,216031.04,08786426766
46,46,2025-11-07 11:11:53.460815,55,Budi Sari,27,Card Reader Super 27,13501.94,10,135019.40,216031.04,08786426766
34,34,2025-11-06 22:53:21.460815,53,Ayu Puspita,27,Card Reader Super 27,13501.94,6,81011.64,175525.22,08506833071
234,34,2025-11-06 22:53:21.460815,53,Ayu Puspita,27,Card Reader Super 27,13501.94,7,94513.58,175525.22,08506833071
177,177,2025-11-03 06:25:02.460815,62,Tono Nugroho,27,Card Reader Super 27,13501.94,9,121517.46,162023.28,08699934027
377,177,2025-11-03 06:25:02.460815,62,Tono Nugroho,27,Card Reader Super 27,13501.94,3,40505.82,162023.28,08699934027
52,52,2025-10-28 13:26:48.460815,95,Putri Irawan,27,Card Reader Super 27,13501.94,4,54007.76,94513.58,08647852803
252,52,2025-10-28 13:26:48.460815,95,Putri Irawan,27,Card Reader Super 27,13501.94,3,40505.82,94513.58,08647852803
127,127,2025-10-27 03:21:30.460815,97,Gita Kartini,27,Card Reader Super 27,13501.94,7,94513.58,108015.52,08740206449
327,127,2025-10-27 03:21:30.460815,97,Gita Kartini,27,Card Reader Super 27,13501.94,1,13501.94,108015.52,08740206449
299,99,2025-10-23 09:21:01.460815,3,Andi Irawan,27,Card Reader Super 27,13501.94,4,54007.76,67509.70,08422324437
99,99,2025-10-23 09:21:01.460815,3,Andi Irawan,27,Card Reader Super 27,13501.94,1,13501.94,67509.70,08422324437
373,173,2025-10-22 05:18:59.460815,19,Lukman Lestari,27,Card Reader Super 27,13501.94,6,81011.64,94513.58,08327468692
173,173,2025-10-22 05:18:59.460815,19,Lukman Lestari,27,Card Reader Super 27,13501.94,1,13501.94,94513.58,08327468692
91,91,2025-10-21 23:53:44.460815,54,Candra Wibowo,27,Card Reader Super 27,13501.94,2,27003.88,40505.82,08208358347
291,91,2025-10-21 23:53:44.460815,54,Candra Wibowo,27,Card Reader Super 27,13501.94,1,13501.94,40505.82,08208358347
1,1,2025-10-20 07:44:13.460815,51,Lukman Firmansyah,27,Card Reader Super 27,13501.94,5,67509.70,202529.10,08189124182
201,1,2025-10-20 07:44:13.460815,51,Lukman Firmansyah,27,Card Reader Super 27,13501.94,10,135019.40,202529.10,08189124182
301,101,2025-10-18 17:51:26.460815,73,Eko Firmansyah,27,Card Reader Super 27,13501.94,5,67509.70,81011.64,08475635653
101,101,2025-10-18 17:51:26.460815,73,Eko Firmansyah,27,Card Reader Super 27,13501.94,1,13501.94,81011.64,08475635653
389,189,2025-10-16 19:27:10.460815,84,Tono Wibowo,27,Card Reader Super 27,13501.94,2,27003.88,67509.70,08345284027
189,189,2025-10-16 19:27:10.460815,84,Tono Wibowo,27,Card Reader Super 27,13501.94,3,40505.82,67509.70,08345284027
32,32,2025-10-16 09:44:01.460815,87,Rina Kusuma,27,Card Reader Super 27,13501.94,8,108015.52,135019.40,08592885286
232,32,2025-10-16 09:44:01.460815,87,Rina Kusuma,27,Card Reader Super 27,13501.94,2,27003.88,135019.40,08592885286
132,132,2025-10-15 17:03:19.460815,4,Xena Prabowo,27,Card Reader Super 27,13501.94,5,67509.70,94513.58,08918748802
332,132,2025-10-15 17:03:19.460815,4,Xena Prabowo,27,Card Reader Super 27,13501.94,2,27003.88,94513.58,08918748802
307,107,2025-10-15 15:09:16.460815,99,Ayu Safitri,27,Card Reader Super 27,13501.94,8,108015.52,162023.28,08948356090
107,107,2025-10-15 15:09:16.460815,99,Ayu Safitri,27,Card Reader Super 27,13501.94,4,54007.76,162023.28,08948356090
282,82,2025-10-15 03:15:52.460815,71,Nina Anggraini,27,Card Reader Super 27,13501.94,6,81011.64,162023.28,08091403060
82,82,2025-10-15 03:15:52.460815,71,Nina Anggraini,27,Card Reader Super 27,13501.94,6,81011.64,162023.28,08091403060
386,186,2025-10-14 22:33:37.460815,92,Ayu Utami,27,Card Reader Super 27,13501.94,5,67509.70,162023.28,08000742619
